GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,players_list
Lineups,-1628389-1628997-1629312-1629639-1631170-,B. Adebayo - C. Martin - H. Highsmith - T. Herro - J. Jaquez Jr.,1,1,0,1.0,3.2,3.0,4.0,0.75,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,8.0,1.0,"'B. Adebayo', 'C. Martin', 'H. Highsmith', 'T. Herro', 'J. Jaquez Jr.'"
Lineups,-1626196-1628389-1629130-1629639-1631170-,J. Richardson - B. Adebayo - D. Robinson - T. Herro - J. Jaquez Jr.,6,4,2,0.667,3.2,2.5,4.7,0.536,0.7,2.0,0.333,1.2,1.3,0.875,0.2,2.0,2.2,2.0,1.2,0.3,0.0,0.2,1.3,1.2,6.8,-0.2,"'J. Richardson', 'B. Adebayo', 'D. Robinson', 'T. Herro', 'J. Jaquez Jr.'"
Lineups,-1626196-1628418-1628997-1629312-1631115-,J. Richardson - T. Bryant - C. Martin - H. Highsmith - O. Robinson,1,1,0,1.0,3.2,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,"'J. Richardson', 'T. Bryant', 'C. Martin', 'H. Highsmith', 'O. Robinson'"
Lineups,-201567-1629130-1630181-1631170-1631288-,K. Love - D. Robinson - R. Hampton - J. Jaquez Jr. - J. Cain,1,1,0,1.0,3.2,2.0,7.0,0.286,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,-3.0,"'K. Love', 'D. Robinson', 'R. Hampton', 'J. Jaquez Jr.', 'J. Cain'"
Lineups,-200768-1628389-1629130-1629639-1631288-,K. Lowry - B. Adebayo - D. Robinson - T. Herro - J. Cain,3,1,2,0.333,3.2,2.7,4.3,0.615,0.7,1.3,0.5,2.0,3.3,0.6,0.3,2.3,2.7,1.3,0.7,0.0,0.0,0.3,0.3,2.0,8.0,-1.0,"'K. Lowry', 'B. Adebayo', 'D. Robinson', 'T. Herro', 'J. Cain'"
Lineups,-202710-1626153-1628997-1631115-1631170-,J. Butler - D. Wright - C. Martin - O. Robinson - J. Jaquez Jr.,1,0,1,0.0,3.1,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-4.0,"'J. Butler', 'D. Wright', 'C. Martin', 'O. Robinson', 'J. Jaquez Jr.'"
Lineups,-1626196-1629130-1629312-1631115-1631170-,J. Richardson - D. Robinson - H. Highsmith - O. Robinson - J. Jaquez Jr.,1,1,0,1.0,3.1,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,"'J. Richardson', 'D. Robinson', 'H. Highsmith', 'O. Robinson', 'J. Jaquez Jr.'"
Lineups,-201567-1629130-1629312-1631170-1631214-,K. Love - D. Robinson - H. Highsmith - J. Jaquez Jr. - A. Williams,1,1,0,1.0,3.1,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,4.0,-6.0,"'K. Love', 'D. Robinson', 'H. Highsmith', 'J. Jaquez Jr.', 'A. Williams'"
Lineups,-201567-1626196-1628389-1629130-1630696-,K. Love - J. Richardson - B. Adebayo - D. Robinson - D. Smith,1,1,0,1.0,3.1,3.0,5.0,0.6,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,-3.0,"'K. Love', 'J. Richardson', 'B. Adebayo', 'D. Robinson', 'D. Smith'"
Lineups,-201567-1626196-1629130-1629639-1631107-,K. Love - J. Richardson - D. Robinson - T. Herro - N. Jovic,1,1,0,1.0,3.1,3.0,6.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,-5.0,"'K. Love', 'J. Richardson', 'D. Robinson', 'T. Herro', 'N. Jovic'"
Lineups,-200768-202710-1628389-1629130-1631288-,K. Lowry - J. Butler - B. Adebayo - D. Robinson - J. Cain,1,0,1,0.0,3.1,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,1.0,"'K. Lowry', 'J. Butler', 'B. Adebayo', 'D. Robinson', 'J. Cain'"
Lineups,-200768-201567-1629130-1629639-1631107-,K. Lowry - K. Love - D. Robinson - T. Herro - N. Jovic,2,1,1,0.5,3.1,1.5,4.5,0.333,1.0,3.5,0.286,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,5.0,-3.0,"'K. Lowry', 'K. Love', 'D. Robinson', 'T. Herro', 'N. Jovic'"
Lineups,-1628389-1629639-1630181-1631170-1631288-,B. Adebayo - T. Herro - R. Hampton - J. Jaquez Jr. - J. Cain,1,1,0,1.0,3.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,6.0,"'B. Adebayo', 'T. Herro', 'R. Hampton', 'J. Jaquez Jr.', 'J. Cain'"
Lineups,-202710-1626179-1628389-1629130-1629312-,J. Butler - T. Rozier - B. Adebayo - D. Robinson - H. Highsmith,1,1,0,1.0,3.0,3.0,5.0,0.6,1.0,3.0,0.333,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,8.0,2.0,"'J. Butler', 'T. Rozier', 'B. Adebayo', 'D. Robinson', 'H. Highsmith'"
