SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
2021-22,1610612748,MIA,Miami Heat,0022100970,2022-03-07,MIA vs. HOU,W,48.0,49,91,0.538,14,31,0.452,11,14,0.786,13,37,50,26,15.0,3,4,7,17,24,123,17.0
2021-22,1610612748,MIA,Miami Heat,0022100956,2022-03-05,MIA vs. PHI,W,48.0,35,72,0.486,13,28,0.464,16,19,0.842,6,32,38,20,14.0,6,3,4,19,17,99,17.0
2021-22,1610612748,MIA,Miami Heat,0022100941,2022-03-03,MIA @ BKN,W,48.0,40,77,0.519,10,30,0.333,23,28,0.821,5,30,35,27,15.0,8,6,5,22,24,113,6.0
2021-22,1610612748,MIA,Miami Heat,0022100936,2022-03-02,MIA @ MIL,L,48.0,44,97,0.454,21,44,0.477,10,12,0.833,9,39,48,28,12.0,9,4,3,22,16,119,-1.0
2021-22,1610612748,MIA,Miami Heat,0022100922,2022-02-28,MIA vs. CHI,W,48.0,40,81,0.494,12,31,0.387,20,26,0.769,9,30,39,28,14.0,8,5,4,18,24,112,13.0
2021-22,1610612748,MIA,Miami Heat,0022100908,2022-02-26,MIA vs. SAS,W,48.0,47,83,0.566,12,28,0.429,27,38,0.711,4,28,32,25,12.0,8,3,1,20,31,133,4.0
2021-22,1610612748,MIA,Miami Heat,0022100900,2022-02-25,MIA @ NYK,W,48.0,39,83,0.47,11,32,0.344,26,35,0.743,4,40,44,22,10.0,13,5,1,28,30,115,15.0
2021-22,1610612748,MIA,Miami Heat,0022100885,2022-02-17,MIA @ CHA,W,58.0,41,102,0.402,14,48,0.292,15,23,0.652,15,41,56,31,15.0,4,5,4,23,28,111,4.0
2021-22,1610612748,MIA,Miami Heat,0022100868,2022-02-15,MIA vs. DAL,L,48.0,35,84,0.417,7,27,0.259,22,27,0.815,15,33,48,19,12.0,1,2,7,23,26,99,-8.0
2021-22,1610612748,MIA,Miami Heat,0022100851,2022-02-12,MIA vs. BKN,W,48.0,41,82,0.5,10,29,0.345,23,29,0.793,10,42,52,20,15.0,6,1,2,21,27,115,4.0
2021-22,1610612748,MIA,Miami Heat,0022100833,2022-02-10,MIA @ NOP,W,48.0,39,81,0.481,10,32,0.313,24,28,0.857,11,32,43,25,14.0,12,4,6,19,23,112,15.0
2021-22,1610612748,MIA,Miami Heat,0022100811,2022-02-07,MIA @ WAS,W,48.0,43,76,0.566,18,32,0.563,17,21,0.81,5,32,37,29,19.0,9,1,0,23,18,121,21.0
